final_text,sentimentLabel
warga dana minim baca mohon tingkat aplikasi jujur tidak nyaman baca tidak aplikasi jenis harap developer baca hubung keluh,negative
hp android dadak tidak akses ipusnas digilib sedih banget pengin baca gratis legal kendala device,negative
update baru mei alangkah susah ya baca buku verifikasi perangkat gagal susah negeri sedia rakyat baca sulit nasib nasib,negative
cant even log,negative
aplikasi jelek awalny ngelag eror enggak minjem enggak buka aplikasi buka aplikasiny data hahaha lucu ya perintah aplikasi baca buku gratis biar orang tarik baca mudah akses eh sulit takut banget generasi suka literasi salah lebih baca offline enggak orang data internet,negative
aku koleksi buku sayang bug error fitur seleksi marking langsung error mode seleksi tidak kembali alhasil tidak scroll bug tidak paham ui nya,negative
fitur unduh tuh biar baca offline offline unduh ulang buku aplikasi stres,neutral
nya engineer indonesia enggak aplikasi pus proper pinjam buku loadingnya enggak selesaiselesaiudah menit,negative
lumayan cumak fitur baca text bahasa inggris bahasa indonesia,positive
verifikasi perangkat mulu adu dm ig enggak respons,negative
habis update enggak log,negative
tolong opsi atur tampil baca lengkap tidak nyaman,negative
finally install ereader syukur,positive
overall bagus cuman nih ya cuman kali kalimat distabiloin apa nama ngelag tolong baik ya terkadang kalimat niat pengin tandain terus perlahan lost interest ipusnas aplikasi bagus lho mudah suka baca aplikasi bagus bug nya masalah terima kasih,positive
buku pinjam tidak langsung unduh online kalo enggak sengaja tunggu unduh ulang,neutral
terima kasih ipusnas jaga nyala api literasi masyarakat indonesia sukses tim balik layar,neutral
maksud verifikasi gagal installnya asli hah dosa,negative
app really great really appreciate im really grateful please fix problem cant even read app says verification failed download play store wth think downloaded dark web orang something course downloaded play store bruh,negative
duh error pakai aplikasi resmi play store devicenya enggak modifikasi enggak device download play store tolong baik orang baca,negative
trashhhhh,negative
tidak baca muncul pesan gagal verifikasi perangkat kemarin tidak instal ulang clear cache dll,neutral
aplikasi sampah maintenance manfaat nya banget astaghfirullah enggak niat banget asih rakyat baca gratis,negative
edit jalan error banding update tampil edit tidak buka verifikasi perangkat gagal aplikasi playstore,neutral
huhuhu bagus versi buku tidak otomatis simpan sth download shg tidak baca offline salah pencet baca bikin masuk mode highlight dll enggak gerak halaman klik back download ulang ganggu nyaman baca moga baca baik kembali versi nyaman moga,positive
error touchpad tidak sengaja tekan layar tidak normal ebook,negative
fitur tanda ganggu banget scroll better enggak deh kasih fitur kalo pencet back buku,negative
layu kembang,neutral
enggak buka,negative
buku tidak simpan offline buka buku download ulang tolong baik,neutral
susah banget pinjem,negative
nas stands nasional book collections meh,neutral
pakai aplikasi kuliah wisuda enggak tingkat tolong bikin cari buku dasar terbit sistem filter masalah filter genre tambah fitur search filter capek scroll cari genre enggak sesuai wowok gara gara nih,neutral
tidak buka ebook format epub ayo ipusnas masalah rating keri kasihan tau rakyat indonesia gemar baca tingkat literasi susah harga buku mahal satusatunya sumber baca gratis enggak proper,negative
yeay error ya ipusnas,negative
aplikasi error errorr,negative
suka ngecrash tibatiba logout koleksi sok tingkat moga perintah enggak halang jalan ya,negative
versi ngebug gagal download mulu,negative
whyy susah banget aplikasi login tolong banget masalah aplikasi guna cerdas bangsa kecuali tidak peduli,negative
lancar,positive
tolong readernya page tablet capek baca scrolling,negative
tidak pinjam buku error,negative
error error nya tuh konsisten banget kayak error bulan habis pakai minggu,negative
admin susah untu minjem dipinjem enggak buka tolong masalah sayang,negative
fitur bookmark belum pakai tunggu fitur bookmark kadang lupa ngetracking baca app tracker,neutral
login pinjam buku pliss banget pertahanin eror,negative
kali hasil login device verification failed kali minjam aplikasi resmi downloadnya play store gilir hasil pinjam enggak baca token validation failed banget errornya aplikasi kali kali rilis info kalo deh atas hitung jam errornya kemarin maintenance upgrading stabilisasi versi stabil versi interface nya ubah,negative
verifikasi pas pinjam belum ter verifikasi pakai aplikasi modifikasi aneh,neutral
enggak pinjem buku error mulu,negative
doesnt work,negative
gagal pinjam buku online terang install aplikasi resmi playstore install nya langsung playstore,neutral
finally updating many times years latest version application didnt work anymore cant borrow book verification rejected notified device verification failed used two accounts reinstall apps still cant fix problem device software modification makes crucial decide verification confirmed orang rejected,negative
buku sedia aplikasi crash tolong baik bisa ganggu akses,neutral
eror maksimal,negative
malfunction apps,negative
lumayan lengkap nagus kadang bug stuck loading update enggak login,positive
parah banget nih apk erorr,negative
error,negative
halo ya usaha log inbahkan coba akun enggak huhu device masalah coba ganti device error butuh banget,negative
tolong kakak teknisi ipusnas apknya jelek banget enggak pakai update,negative
lemott,neutral
kocak enggak buka apk nya jaring bagus beranda loading enggak muncul,negative
enggak login,negative
gagal daftar hp web,negative
baik app heran,negative
ciri khas app perintah bikin kecewa enggak bilang sampah enggak login lelet fitur enggak lengkap layar blank app logout dsb,negative
couldnt login please fix problems,negative
error min baca,negative
kemarin enggak error error excited baca,neutral
efek realokasi anggar mbak kah jelek,negative
baca aplikasi naruh hp pas masuk lag tampil home kosong enggak pencet apaapa rak buku kosong ngesearch enggak coba hapus data aplikasi otomatis log ya yaudah log ya enggak log serius sedih niatin baca buku nemu buku bagus sempat baca dikit pas ngelanjutin kasih layan aplikasi enggak dinikmatin kayak,negative
banget error app enggak buka internet lancar tolong benerin,negative
dont know developed app prefer previous version simple smooth version makes uncomfortable every time open app log first takes quite long time load,negative
masalah baru versi stabil kurang download pinjam baca tampil lengkap mudah pinjam kembali,negative
tidak buka tab,neutral
baca sekian error tolong menu mode baca menu sendiri salah tap mode baca ubah scroll slide menu highlight text dll mohon menu sendiri,neutral
terima kasih ipusnas dengar komplain kritik masyarakat sistem aplikasi mudah pinjam baca buku,neutral
banget ngebug enggak baca buku pinjam website errornya aplikasi perintah kalah swasta sih,negative
terima kasih tim ipusnas masalah aplikasi syukur banget app bagus koleksi buku lengkap bagus moga amanah,positive
tunggu terima kasih masalah appnya please biar appnya crash,neutral
terima kasih tidak error update,neutral
