final_text,sentimentLabel,stemmed_text
sebagai warga yang dengan dana minim tapi ingin tetap membaca saya mohon sekali agar ada peningkatan di beberapa bagian aplikasi ini karena jujur saya tidak nyaman baca di sini tidak seperti aplikasi lainnya yang sejenis harap developer membaca ini dan menghubungi saya agar keluhan saya tersampaikan,negative,warga dana minim baca mohon tingkat aplikasi jujur tidak nyaman baca tidak aplikasi jenis harap developer baca hubung keluh
hp saya android mendadak sudah tidak bisa digunakan untuk mengakses ipusnas padahal digilib lain masih bisa sedih banget begini amat pengin baca gratis secara legal terkendala device,positive,hp android dadak tidak akses ipusnas digilib sedih banget pengin baca gratis legal kendala device
update terbaru mei alangkah susahnya ya mau baca buku saja selalu verifikasi perangkat gagal susahnya negeri ini menyediakan untuk rakyatnya membaca saja dipersulit nasib nasib,positive,update baru mei alangkah susah ya baca buku verifikasi perangkat gagal susah negeri sedia rakyat baca sulit nasib nasib
cant even log ini,neutral,cant even log
aplikasinya makin lama makin jelek saja dari yang awalny sering ngelag eror enggak bisa minjem enggak bisa dibuka aplikasinya dan sekarang buka aplikasiny harus punya data hahaha lucu ya padahal harusnya pemerintah buat aplikasi baca buku gratis begini biar banyak orang yang tertarik buat baca karena mudah diakses eh sekarang malah dipersulit takut banget apa punya generasi yang suka literasi padahal salah satu kelebihannya bisa dibaca offline karena enggak semua orang punya banyak data internet,negative,aplikasi jelek awalny ngelag eror enggak minjem enggak buka aplikasi buka aplikasiny data hahaha lucu ya perintah aplikasi baca buku gratis biar orang tarik baca mudah akses eh sulit takut banget generasi suka literasi salah lebih baca offline enggak orang data internet
saya akui koleksi bukunya banyak tapi sangat disayangkan ada beberapa bug atau error pada fitur seleksi entah mengapa setelah saya marking beberapa kata langsung error mode seleksi tidak bisa dikembalikan alhasil tidak bisa di scroll entah itu bug atau saya yang tidak paham dengan ui nya,negative,aku koleksi buku sayang bug error fitur seleksi marking langsung error mode seleksi tidak kembali alhasil tidak scroll bug tidak paham ui nya
adanya fitur unduh tuh biar bisa dibaca offline lah ini tiap offline harus unduh ulang bukunya aplikasi stres,negative,fitur unduh tuh biar baca offline offline unduh ulang buku aplikasi stres
dari banyak nya itu engineer di indonesia masa enggak bisa buat aplikasi perpus yang proper saya mau pinjam buku tapi loadingnya enggak selesaiselesaiudah menit bisa lebih lama lagi,negative,nya engineer indonesia enggak aplikasi pus proper pinjam buku loadingnya enggak selesaiselesaiudah menit
lumayan cumak ketika fitur baca text itu bahasa inggris kalau bisa bahasa indonesia saja,negative,lumayan cumak fitur baca text bahasa inggris bahasa indonesia
meminta verifikasi perangkat mulu mengadu ke dm ig enggak direspons,positive,verifikasi perangkat mulu adu dm ig enggak respons
