content,case_folding,cleaning,slang,tokenizing,filtered,stemmed,final_text,sentimentLabel
"sebagai warga yang dengan dana minim, tapi ingin tetap membaca, saya mohon sekali, agar ada peningkatan di beberapa bagian aplikasi ini. karena jujur, saya tidak nyaman baca di sini, tidak seperti aplikasi lainnya yang sejenis. harap developer membaca ini. dan menghubungi saya agar keluhan saya tersampaikan.","sebagai warga yang dengan dana minim, tapi ingin tetap membaca, saya mohon sekali, agar ada peningkatan di beberapa bagian aplikasi ini. karena jujur, saya tidak nyaman baca di sini, tidak seperti aplikasi lainnya yang sejenis. harap developer membaca ini. dan menghubungi saya agar keluhan saya tersampaikan.",sebagai warga yang dengan dana minim tapi ingin tetap membaca saya mohon sekali agar ada peningkatan di beberapa bagian aplikasi ini karena jujur saya tidak nyaman baca di sini tidak seperti aplikasi lainnya yang sejenis harap developer membaca ini dan menghubungi saya agar keluhan saya tersampaikan,sebagai warga yang dengan dana minim tapi ingin tetap membaca saya mohon sekali agar ada peningkatan di beberapa bagian aplikasi ini karena jujur saya tidak nyaman baca di sini tidak seperti aplikasi lainnya yang sejenis harap developer membaca ini dan menghubungi saya agar keluhan saya tersampaikan,"['sebagai', 'warga', 'yang', 'dengan', 'dana', 'minim', 'tapi', 'ingin', 'tetap', 'membaca', 'saya', 'mohon', 'sekali', 'agar', 'ada', 'peningkatan', 'di', 'beberapa', 'bagian', 'aplikasi', 'ini', 'karena', 'jujur', 'saya', 'tidak', 'nyaman', 'baca', 'di', 'sini', 'tidak', 'seperti', 'aplikasi', 'lainnya', 'yang', 'sejenis', 'harap', 'developer', 'membaca', 'ini', 'dan', 'menghubungi', 'saya', 'agar', 'keluhan', 'saya', 'tersampaikan']","['warga', 'dana', 'minim', 'membaca', 'mohon', 'peningkatan', 'aplikasi', 'jujur', 'tidak', 'nyaman', 'baca', 'tidak', 'aplikasi', 'sejenis', 'harap', 'developer', 'membaca', 'menghubungi', 'keluhan']","['warga', 'dana', 'minim', 'baca', 'mohon', 'tingkat', 'aplikasi', 'jujur', 'tidak', 'nyaman', 'baca', 'tidak', 'aplikasi', 'jenis', 'harap', 'developer', 'baca', 'hubung', 'keluh']",warga dana minim baca mohon tingkat aplikasi jujur tidak nyaman baca tidak aplikasi jenis harap developer baca hubung keluh,negative
hp saya android 9 mendadak sudah tidak bisa digunakan untuk mengakses ipusnas :( padahal digilib lain masih bisa. sedih bgt gini amat pengen baca gratis secara legal terkendala device,hp saya android 9 mendadak sudah tidak bisa digunakan untuk mengakses ipusnas :( padahal digilib lain masih bisa. sedih bgt gini amat pengen baca gratis secara legal terkendala device,hp saya android mendadak sudah tidak bisa digunakan untuk mengakses ipusnas padahal digilib lain masih bisa sedih bgt gini amat pengen baca gratis secara legal terkendala device,hp saya android mendadak sudah tidak bisa digunakan untuk mengakses ipusnas padahal digilib lain masih bisa sedih banget begini amat pengin baca gratis secara legal terkendala device,"['hp', 'saya', 'android', 'mendadak', 'sudah', 'tidak', 'bisa', 'digunakan', 'untuk', 'mengakses', 'ipusnas', 'padahal', 'digilib', 'lain', 'masih', 'bisa', 'sedih', 'banget', 'begini', 'amat', 'pengin', 'baca', 'gratis', 'secara', 'legal', 'terkendala', 'device']","['hp', 'android', 'mendadak', 'tidak', 'mengakses', 'ipusnas', 'digilib', 'sedih', 'banget', 'pengin', 'baca', 'gratis', 'legal', 'terkendala', 'device']","['hp', 'android', 'dadak', 'tidak', 'akses', 'ipusnas', 'digilib', 'sedih', 'banget', 'pengin', 'baca', 'gratis', 'legal', 'kendala', 'device']",hp android dadak tidak akses ipusnas digilib sedih banget pengin baca gratis legal kendala device,negative
"update terbaru 9 mei 2026 alangkah susahnya ya mau baca buku aja selalu verifikasi perangkat gagal, susahnya negri ini menyediakan utk rakyatnya membaca aja dipersulit nasib nasib","update terbaru 9 mei 2026 alangkah susahnya ya mau baca buku aja selalu verifikasi perangkat gagal, susahnya negri ini menyediakan utk rakyatnya membaca aja dipersulit nasib nasib",update terbaru mei alangkah susahnya ya mau baca buku aja selalu verifikasi perangkat gagal susahnya negri ini menyediakan utk rakyatnya membaca aja dipersulit nasib nasib,update terbaru mei alangkah susahnya ya mau baca buku saja selalu verifikasi perangkat gagal susahnya negeri ini menyediakan untuk rakyatnya membaca saja dipersulit nasib nasib,"['update', 'terbaru', 'mei', 'alangkah', 'susahnya', 'ya', 'mau', 'baca', 'buku', 'saja', 'selalu', 'verifikasi', 'perangkat', 'gagal', 'susahnya', 'negeri', 'ini', 'menyediakan', 'untuk', 'rakyatnya', 'membaca', 'saja', 'dipersulit', 'nasib', 'nasib']","['update', 'terbaru', 'mei', 'alangkah', 'susahnya', 'ya', 'baca', 'buku', 'verifikasi', 'perangkat', 'gagal', 'susahnya', 'negeri', 'menyediakan', 'rakyatnya', 'membaca', 'dipersulit', 'nasib', 'nasib']","['update', 'baru', 'mei', 'alangkah', 'susah', 'ya', 'baca', 'buku', 'verifikasi', 'perangkat', 'gagal', 'susah', 'negeri', 'sedia', 'rakyat', 'baca', 'sulit', 'nasib', 'nasib']",update baru mei alangkah susah ya baca buku verifikasi perangkat gagal susah negeri sedia rakyat baca sulit nasib nasib,negative
Cant even log in,cant even log in,cant even log in,cant even log ini,"['cant', 'even', 'log', 'ini']","['cant', 'even', 'log']","['cant', 'even', 'log']",cant even log,negative
"aplikasinya makin lama makin jelek aja. dari yg awalny sering ngelag, eror gk bisa minjem, gk bisa dibuka aplikasinya, dan sekarang buka aplikasiny harus punya data🙂 hahaha lucu ya, padahal harusnya pemerintah buat aplikasi baca buku gratis gini biar banyak orang yg tertarik buat baca karena mudah diakses, eh sekarang malah dipersulit. takut bgt apa punya generasi yg suka literasi? padahal salah satu kelebihannya bisa dibaca offline karena gk semua org punya banyak data internet😮‍💨","aplikasinya makin lama makin jelek aja. dari yg awalny sering ngelag, eror gk bisa minjem, gk bisa dibuka aplikasinya, dan sekarang buka aplikasiny harus punya data🙂 hahaha lucu ya, padahal harusnya pemerintah buat aplikasi baca buku gratis gini biar banyak orang yg tertarik buat baca karena mudah diakses, eh sekarang malah dipersulit. takut bgt apa punya generasi yg suka literasi? padahal salah satu kelebihannya bisa dibaca offline karena gk semua org punya banyak data internet😮‍💨",aplikasinya makin lama makin jelek aja dari yg awalny sering ngelag eror gk bisa minjem gk bisa dibuka aplikasinya dan sekarang buka aplikasiny harus punya data hahaha lucu ya padahal harusnya pemerintah buat aplikasi baca buku gratis gini biar banyak orang yg tertarik buat baca karena mudah diakses eh sekarang malah dipersulit takut bgt apa punya generasi yg suka literasi padahal salah satu kelebihannya bisa dibaca offline karena gk semua org punya banyak data internet,aplikasinya makin lama makin jelek saja dari yang awalny sering ngelag eror enggak bisa minjem enggak bisa dibuka aplikasinya dan sekarang buka aplikasiny harus punya data hahaha lucu ya padahal harusnya pemerintah buat aplikasi baca buku gratis begini biar banyak orang yang tertarik buat baca karena mudah diakses eh sekarang malah dipersulit takut banget apa punya generasi yang suka literasi padahal salah satu kelebihannya bisa dibaca offline karena enggak semua orang punya banyak data internet,"['aplikasinya', 'makin', 'lama', 'makin', 'jelek', 'saja', 'dari', 'yang', 'awalny', 'sering', 'ngelag', 'eror', 'enggak', 'bisa', 'minjem', 'enggak', 'bisa', 'dibuka', 'aplikasinya', 'dan', 'sekarang', 'buka', 'aplikasiny', 'harus', 'punya', 'data', 'hahaha', 'lucu', 'ya', 'padahal', 'harusnya', 'pemerintah', 'buat', 'aplikasi', 'baca', 'buku', 'gratis', 'begini', 'biar', 'banyak', 'orang', 'yang', 'tertarik', 'buat', 'baca', 'karena', 'mudah', 'diakses', 'eh', 'sekarang', 'malah', 'dipersulit', 'takut', 'banget', 'apa', 'punya', 'generasi', 'yang', 'suka', 'literasi', 'padahal', 'salah', 'satu', 'kelebihannya', 'bisa', 'dibaca', 'offline', 'karena', 'enggak', 'semua', 'orang', 'punya', 'banyak', 'data', 'internet']","['aplikasinya', 'jelek', 'awalny', 'ngelag', 'eror', 'enggak', 'minjem', 'enggak', 'dibuka', 'aplikasinya', 'buka', 'aplikasiny', 'data', 'hahaha', 'lucu', 'ya', 'pemerintah', 'aplikasi', 'baca', 'buku', 'gratis', 'biar', 'orang', 'tertarik', 'baca', 'mudah', 'diakses', 'eh', 'dipersulit', 'takut', 'banget', 'generasi', 'suka', 'literasi', 'salah', 'kelebihannya', 'dibaca', 'offline', 'enggak', 'orang', 'data', 'internet']","['aplikasi', 'jelek', 'awalny', 'ngelag', 'eror', 'enggak', 'minjem', 'enggak', 'buka', 'aplikasi', 'buka', 'aplikasiny', 'data', 'hahaha', 'lucu', 'ya', 'perintah', 'aplikasi', 'baca', 'buku', 'gratis', 'biar', 'orang', 'tarik', 'baca', 'mudah', 'akses', 'eh', 'sulit', 'takut', 'banget', 'generasi', 'suka', 'literasi', 'salah', 'lebih', 'baca', 'offline', 'enggak', 'orang', 'data', 'internet']",aplikasi jelek awalny ngelag eror enggak minjem enggak buka aplikasi buka aplikasiny data hahaha lucu ya perintah aplikasi baca buku gratis biar orang tarik baca mudah akses eh sulit takut banget generasi suka literasi salah lebih baca offline enggak orang data internet,negative
"saya akui koleksi bukunya banyak, tapi sangat disayangkan ada beberapa bug atau error pada fitur seleksi, entah mengapa setelah saya marking beberapa kata langsung error (mode seleksi tidak bisa dikembalikan) alhasil tidak bisa di scroll, entah itu bug atau saya yang tidak paham dengan UI nya","saya akui koleksi bukunya banyak, tapi sangat disayangkan ada beberapa bug atau error pada fitur seleksi, entah mengapa setelah saya marking beberapa kata langsung error (mode seleksi tidak bisa dikembalikan) alhasil tidak bisa di scroll, entah itu bug atau saya yang tidak paham dengan ui nya",saya akui koleksi bukunya banyak tapi sangat disayangkan ada beberapa bug atau error pada fitur seleksi entah mengapa setelah saya marking beberapa kata langsung error mode seleksi tidak bisa dikembalikan alhasil tidak bisa di scroll entah itu bug atau saya yang tidak paham dengan ui nya,saya akui koleksi bukunya banyak tapi sangat disayangkan ada beberapa bug atau error pada fitur seleksi entah mengapa setelah saya marking beberapa kata langsung error mode seleksi tidak bisa dikembalikan alhasil tidak bisa di scroll entah itu bug atau saya yang tidak paham dengan ui nya,"['saya', 'akui', 'koleksi', 'bukunya', 'banyak', 'tapi', 'sangat', 'disayangkan', 'ada', 'beberapa', 'bug', 'atau', 'error', 'pada', 'fitur', 'seleksi', 'entah', 'mengapa', 'setelah', 'saya', 'marking', 'beberapa', 'kata', 'langsung', 'error', 'mode', 'seleksi', 'tidak', 'bisa', 'dikembalikan', 'alhasil', 'tidak', 'bisa', 'di', 'scroll', 'entah', 'itu', 'bug', 'atau', 'saya', 'yang', 'tidak', 'paham', 'dengan', 'ui', 'nya']","['akui', 'koleksi', 'bukunya', 'disayangkan', 'bug', 'error', 'fitur', 'seleksi', 'marking', 'langsung', 'error', 'mode', 'seleksi', 'tidak', 'dikembalikan', 'alhasil', 'tidak', 'scroll', 'bug', 'tidak', 'paham', 'ui', 'nya']","['aku', 'koleksi', 'buku', 'sayang', 'bug', 'error', 'fitur', 'seleksi', 'marking', 'langsung', 'error', 'mode', 'seleksi', 'tidak', 'kembali', 'alhasil', 'tidak', 'scroll', 'bug', 'tidak', 'paham', 'ui', 'nya']",aku koleksi buku sayang bug error fitur seleksi marking langsung error mode seleksi tidak kembali alhasil tidak scroll bug tidak paham ui nya,negative
"adanya fitur unduh tuh biar bisa dibaca offline, lah ini tiap offline harus unduh ulang bukunya. aplikasi stress.","adanya fitur unduh tuh biar bisa dibaca offline, lah ini tiap offline harus unduh ulang bukunya. aplikasi stress.",adanya fitur unduh tuh biar bisa dibaca offline lah ini tiap offline harus unduh ulang bukunya aplikasi stress,adanya fitur unduh tuh biar bisa dibaca offline lah ini tiap offline harus unduh ulang bukunya aplikasi stres,"['adanya', 'fitur', 'unduh', 'tuh', 'biar', 'bisa', 'dibaca', 'offline', 'lah', 'ini', 'tiap', 'offline', 'harus', 'unduh', 'ulang', 'bukunya', 'aplikasi', 'stres']","['fitur', 'unduh', 'tuh', 'biar', 'dibaca', 'offline', 'offline', 'unduh', 'ulang', 'bukunya', 'aplikasi', 'stres']","['fitur', 'unduh', 'tuh', 'biar', 'baca', 'offline', 'offline', 'unduh', 'ulang', 'buku', 'aplikasi', 'stres']",fitur unduh tuh biar baca offline offline unduh ulang buku aplikasi stres,neutral
"Dari banyak nya IT engineer di Indonesia, masa ga bisa buat aplikasi perpus yang proper! saya mau pinjam buku, tapi loadingnya ga selesai-selesai(udah 30 menit, bisa lebih lama lagi)","dari banyak nya it engineer di indonesia, masa ga bisa buat aplikasi perpus yang proper! saya mau pinjam buku, tapi loadingnya ga selesai-selesai(udah 30 menit, bisa lebih lama lagi)",dari banyak nya it engineer di indonesia masa ga bisa buat aplikasi perpus yang proper saya mau pinjam buku tapi loadingnya ga selesaiselesaiudah menit bisa lebih lama lagi,dari banyak nya itu engineer di indonesia masa enggak bisa buat aplikasi perpus yang proper saya mau pinjam buku tapi loadingnya enggak selesaiselesaiudah menit bisa lebih lama lagi,"['dari', 'banyak', 'nya', 'itu', 'engineer', 'di', 'indonesia', 'masa', 'enggak', 'bisa', 'buat', 'aplikasi', 'perpus', 'yang', 'proper', 'saya', 'mau', 'pinjam', 'buku', 'tapi', 'loadingnya', 'enggak', 'selesaiselesaiudah', 'menit', 'bisa', 'lebih', 'lama', 'lagi']","['nya', 'engineer', 'indonesia', 'enggak', 'aplikasi', 'perpus', 'proper', 'pinjam', 'buku', 'loadingnya', 'enggak', 'selesaiselesaiudah', 'menit']","['nya', 'engineer', 'indonesia', 'enggak', 'aplikasi', 'pus', 'proper', 'pinjam', 'buku', 'loadingnya', 'enggak', 'selesaiselesaiudah', 'menit']",nya engineer indonesia enggak aplikasi pus proper pinjam buku loadingnya enggak selesaiselesaiudah menit,negative
lumayan cumak ketika Fitur Baca Text itu bahasa inggris kalau bisa bahasa Indonesia aja,lumayan cumak ketika fitur baca text itu bahasa inggris kalau bisa bahasa indonesia aja,lumayan cumak ketika fitur baca text itu bahasa inggris kalau bisa bahasa indonesia aja,lumayan cumak ketika fitur baca text itu bahasa inggris kalau bisa bahasa indonesia saja,"['lumayan', 'cumak', 'ketika', 'fitur', 'baca', 'text', 'itu', 'bahasa', 'inggris', 'kalau', 'bisa', 'bahasa', 'indonesia', 'saja']","['lumayan', 'cumak', 'fitur', 'baca', 'text', 'bahasa', 'inggris', 'bahasa', 'indonesia']","['lumayan', 'cumak', 'fitur', 'baca', 'text', 'bahasa', 'inggris', 'bahasa', 'indonesia']",lumayan cumak fitur baca text bahasa inggris bahasa indonesia,positive
minta verifikasi perangkat mulu 😭 ngadu ke dm IG gak direspons,minta verifikasi perangkat mulu 😭 ngadu ke dm ig gak direspons,minta verifikasi perangkat mulu ngadu ke dm ig gak direspons,meminta verifikasi perangkat mulu mengadu ke dm ig enggak direspons,"['meminta', 'verifikasi', 'perangkat', 'mulu', 'mengadu', 'ke', 'dm', 'ig', 'enggak', 'direspons']","['verifikasi', 'perangkat', 'mulu', 'mengadu', 'dm', 'ig', 'enggak', 'direspons']","['verifikasi', 'perangkat', 'mulu', 'adu', 'dm', 'ig', 'enggak', 'respons']",verifikasi perangkat mulu adu dm ig enggak respons,negative
