final_text,sentimentLabel
warga dana minim baca mohon tingkat aplikasi jujur nyaman baca aplikasi jenis harap developer baca hubung keluh,positive
hp android dadak akses ipusnas digilib sedih banget pengin baca gratis legal kendala device,positive
update baru mei alangkah susah ya baca buku verifikasi perangkat gagal susah negeri sedia rakyat baca sulit nasib nasib,positive
cant even log,neutral
aplikasi jelek awalny ngelag eror minjem buka aplikasi buka aplikasiny data hahaha lucu ya perintah aplikasi baca buku gratis biar orang tarik baca mudah akses eh sulit takut banget generasi suka literasi salah lebih baca offline orang data internet,negative
aku koleksi buku sayang bug error fitur seleksi marking langsung error mode seleksi kembali alhasil scroll bug paham ui nya,negative
fitur unduh tuh biar baca offline offline unduh ulang buku aplikasi stres,negative
nya engineer indonesia aplikasi pus proper pinjam buku loadingnya selesaiselesaiudah menit,negative
lumayan cumak fitur baca text bahasa inggris bahasa indonesia,negative
verifikasi perangkat mulu adu dm ig respons,positive
habis update log,neutral
tolong opsi atur tampil baca lengkap nyaman,positive
finally install ereader syukur,neutral
overall bagus cuman nih ya cuman kali kalimat distabiloin apa nama ngelag tolong baik ya terkadang kalimat niat pengin tandain terus perlahan lost interest ipusnas aplikasi bagus lho mudah suka baca aplikasi bagus bug nya baik terima kasih,negative
buku pinjam langsung unduh online kalo sengaja tunggu unduh ulang,negative
terima kasih ipusnas jaga nyala api literasi masyarakat indonesia sukses tim balik layar,negative
maksud verifikasi gagal installnya asli hah dosa,negative
app really great really appreciate im really grateful please fix problem cant even read app says verification failed download play store wth think downloaded dark web orang something course downloaded play store bruh,negative
duh error pakai aplikasi resmi play store devicenya modifikasi device download play store tolong baik orang baca,negative
trashhhhh,neutral
baca muncul pesan gagal verifikasi perangkat kemarin instal ulang clear cache dll,negative
aplikasi sampah maintenance manfaat nya banget astaghfirullah niat banget asih rakyat baca gratis,positive
edit jalan error banding update tampil edit buka verifikasi perangkat gagal aplikasi playstore,negative
huhuhu bagus versi buku otomatis simpan sth download shg baca offline salah pencet baca bikin masuk mode highlight dll gerak halaman klik back download ulang ganggu nyaman baca moga baca baik kembali versi nyaman moga,positive
error touchpad sengaja tekan layar normal ebook,negative
fitur tanda ganggu banget scroll better deh kasih fitur kalo pencet back buku,positive
layu kembang,negative
buka,neutral
buku simpan offline buka buku download ulang tolong baik,positive
susah banget pinjem,negative
nas stands nasional book collections meh,negative
pakai aplikasi kuliah wisuda tingkat tolong bikin cari buku dasar terbit sistem filter dibenerin filter genre tambah fitur search filter capek scroll cari genre sesuai wowok gara gara nih,negative
buka ebook format epub ayo ipusnas baik rating keri kasihan tau rakyat indonesia gemar baca tingkat literasi susah harga buku mahal satusatunya sumber baca gratis proper,positive
yeay error ya ipusnas,negative
aplikasi error errorr,negative
suka ngecrash tibatiba logout koleksi sok tingkat moga perintah halang jalan ya,positive
versi ngebug gagal download mulu,negative
whyy susah banget aplikasi login tolong banget baik aplikasi guna cerdas bangsa kecuali peduli,neutral
lancar,positive
tolong readernya page tablet capek baca scrolling,positive
pinjam buku error,negative
error error nya tuh konsisten banget kayak error bulan habis pakai minggu,negative
admin susah untu minjem dipinjem buka tolong baik sayang,negative
fitur bookmark pakai tunggu fitur bookmark kadang lupa ngetracking baca app tracker,negative
login pinjam buku pliss banget pertahanin eror,negative
kali hasil login device verification failed kali minjam aplikasi resmi downloadnya play store gilir hasil pinjam baca token validation failed banget errornya aplikasi kali kali rilis info kalo deh atas hitung jam errornya kemarin maintenance upgrading stabilisasi versi stabil versi interface nya ubah,positive
verifikasi pas pinjam ter verifikasi pakai aplikasi modifikasi aneh,positive
pinjem buku error mulu,negative
doesnt work,neutral
gagal pinjam buku online terang install aplikasi resmi playstore install nya langsung playstore,negative
finally updating many times years latest version application didnt work anymore cant borrow book verification rejected notified device verification failed used two accounts reinstall apps still cant fix problem device software modification makes crucial decide verification confirmed orang rejected,negative
buku sedia aplikasi crash tolong baik bisa ganggu akses,negative
eror maksimal,negative
malfunction apps,neutral
lumayan lengkap nagus kadang bug stuck loading update login,positive
parah banget nih apk erorr,negative
error,negative
halo ya usaha log inbahkan coba akun huhu device masalah coba ganti device error butuh banget,negative
tolong kakak teknisi ipusnas apknya jelek banget pakai update,negative
lemott,neutral
kocak buka apk nya jaring bagus beranda loading muncul,negative
login,neutral
gagal daftar hp web,negative
baik app heran,positive
ciri khas app perintah bikin kecewa bilang sampah login lelet fitur lengkap layar blank app logout dsb,negative
couldnt login please fix problems,negative
error min baca,negative
kemarin error error excited baca,negative
efek realokasi anggar mbak kah jelek,negative
baca aplikasi naruh hp pas masuk lag tampil home kosong pencet apaapa rak buku kosong ngesearch coba hapus data aplikasi otomatis log ya yaudah log ya log serius sedih niatin baca buku nemu buku bagus sempat baca dikit pas ngelanjutin kasih layan aplikasi dinikmatin kayak,negative
banget error app buka internet lancar tolong benerin,negative
dont know developed app prefer previous version simple smooth version makes uncomfortable every time open app log first takes quite long time load,neutral
baik baru versi stabil kurang download pinjam baca tampil lengkap mudah pinjam kembali,positive
buka tab,neutral
baca sekian error tolong menu mode baca menu sendiri salah tap mode baca ubah scroll slide menu highlight text dll mohon menu sendiri,negative
terima kasih ipusnas dengar komplain kritik masyarakat sistem aplikasi mudah pinjam baca buku,positive
banget ngebug baca buku pinjam website errornya aplikasi perintah kalah swasta sih,negative
terima kasih tim ipusnas baik aplikasi syukur banget app bagus koleksi buku lengkap bagus moga amanah,positive
tunggu terima kasih baik appnya please biar appnya crash,negative
terima kasih error update,negative
yes borrow books yes read theres one day limit borrowing books efficiency efficiency efficiency etc hell nawh,positive
stabil,positive
banget log pas masuk akun salah data tolong baik download buku apknya banget download apknya buka langsung apknya parah tuh log kalo log tulis nya salah data kalo server sibuk,negative
app doesnt work huawei tab even though internet connection fine,positive
simpan buku pinjam anggar ipusnas baik server biar masyarakat akses baca buku puas anggar rangin mbak pls thx,neutral
aplikasi cemerlang bug nya pinjam buku teknis mohon tim ipusnas baik,negative
thx fixing bug pinjam buku suka koleksi buku banget,positive
aplikasi login kutip fungsi terimakasih pustaka nasional,positive
bagus sih aplikasi saran ya ditambahin copyannya cuman buku rakyat indonesia juta banget ngantrinya minjem buku,positive
ipusnas elib pakai guna jujur sedih kecewa banget tementemen minjem buku gratis mending ijakarta aplikasi akses koleksi buku,positive
aplikasi buka buku didownload terimakasih baik,positive
thanks fix book system,positive
aplikasi bagus banget bintang nyediain elib cuman tolong maintenance error mulu asa,negative
mohon kembali fungsi unduh buku kali pinjam kali ereader download ulang sebal tambah fitur text selection highlight kutip sebal nonaktif tap layar tekan tombol nonaktif tekan tombol ereader download ulang alam baca enak,negative
uninstall kayaknye kena efisiensi nih aplikasj error dibenerin bye,negative
pinjam buku apa salah data,negative
error mulu pinjam buku,negative
buka pinjam buku tulis gagal kirim data,negative
minjam buku tunggu,negative
apk kena efisiensi kah,negative
much error,negative
berbulanbulan akses,neutral
kokk gabisaa sih trouble muluu nih tadiikenapayaa asa kayak,negative
maret rakyat larang pintar oktober gila benerin bugnya update versi baru buka buku pinjam force close coba baca buku apa,neutral
cant borrow books,neutral
log pinjem buku baca offline,positive
everytime wan na borrow book still many copies notified theres problem data really hope problem fixed soon,negative
bulan pinjam buku notifnya kirim data baik,neutral
error pas pinjam,negative
pinjam buku unduh,neutral
overall bagus kait databasenya moga cepat selesai teman teman pinjam buku data akses,negative
application useful application many people making easier access reading searching lecture materials orang like disappointment application always problems logging orang book borrowing process hopefully fix soon,neutral
pinjam buku suruh coba,negative
ganggu pinjam buku baca solusi,positive
eh minjem buku data eror deh fix pls,negative
cant even borrow books cant even read cant anything rip,negative
used love app sok much book collection great made reading easy even recommended students app really helped us read without buy books two years especially updates app often errors sometimes books cant borrowed hope developers fix soon humble opinion ipusnas really great platform reading learning,positive
kirim data sila coba kak kalo klik pinjam terimakasih,positive
minjem buku aplikasi mersamalah mulu kali pinjem tulissannya salah kirim data pinjam dadi minjem coba minjem buku perangkat lainnga nih app,negative
ya suka aplikasi buku cari pinjam buku tulis kirim data tolong difix cepat kak butuh banget buku,positive
sayang kembang dana kelola aplikasi,positive
tawar buku pinjam gratis klik pinjam muncul ingat kirim data,negative
konten aplikasi bagus bug yuk yuk maintenance,positive
whats problem app cant even borrow anything read collection,negative
pinjam buku ya eror,neutral
buku pinjam,neutral
maintenance sungguh keri mundur adab efisiensi anggar pustaka negara,negative
dibenerin tolong kasih pasti kalo tiada tolong umum ngegantung,positive
buku akses,neutral
minjem buku sihhhhh,neutral
pinjam buku kirim data sila coba,negative
pinjem buku dana habis mbak kah cerdas hidup bangsa maintenance kali kecewa aplikasi perintah sungguh peduli rakyat sedia bahan baca publik fisik minimal virtual virtual,neutral
tolong bulan error ya update pinjam buku tugas susah tolong baik butuh,negative
pinjam buku error mulu,negative
moga anggar potong tambah aplikasi akses salam literasi,negative
banget error skripsi butuh ipusnas cari referensi digunain bulan tolong,negative
pakai aplikasi pesan kirim data sila coba klik tombol pinjam buku solusi mohon bagi ya guys,positive
uninstalled comeback next quarter januari pinjam buku kendala feb fungsi tombol pinjam pesan kendala kirim data coba,negative
halosampai alami kendala pinjam buku coba menghuhungi via email tanggap mohon info solusi terimakasih,positive
cant use,neutral
error mulu minjam,negative
hari pinjam buku muncul kirim data sila coba,negative
error bae,negative
aplikasi pakai error klik pinjam kirim data coba,negative
aplikasi pakaipadahal bagustapi kendala nya jelek bangettttolong baik,negative
baik bug issue apps pinjam buku,neutral
pinjam tulis kirim data diuninstall trouble pakai hp tablet biji ganti akun kalo pinjam buku n baca ku ubah ratingnya tolong baik cepat,positive
